Event,Actual,Prior,Freq.,Date,Time,Surv(M),Std Dev,nn-surprise,Surprise,DateTime
Initial Jobless Claims,331.0,336k,W,2013-08-29,07:30:00,332.0,3.88,-1.0,-0.057548678510171515,2013-08-29 07:30:00
GDP Annualized QoQ,0.025,0.017,Q,2013-08-29,07:30:00,0.022,0.3,0.0030000000000000027,0.12102859808526877,2013-08-29 07:30:00
U. of Mich. Sentiment,82.1,80,M,2013-08-30,08:55:00,80.5,1,1.5999999999999943,0.5226946001867634,2013-08-30 08:55:00
ISM Manufacturing,55.7,55.4,M,2013-09-03,09:00:00,54.0,0.86,1.7000000000000028,0.910896814393813,2013-09-03 09:00:00
Initial Jobless Claims,323.0,331k,W,2013-09-05,07:30:00,330.0,3.95,-7.0,-0.40355723206424415,2013-09-05 07:30:00
Change in Nonfarm Payrolls,169.0,162k,M,2013-09-06,07:30:00,180.0,21.09,-11.0,-0.17485665356463245,2013-09-06 07:30:00
Unemployment Rate,0.073,0.074,M,2013-09-06,07:30:00,0.074,0.05,-0.0010000000000000009,-0.0028069558584128567,2013-09-06 07:30:00
Initial Jobless Claims,292.0,323k,W,2013-09-12,07:30:00,330.0,5.89,-38.0,-2.1718017980109003,2013-09-12 07:30:00
PPI Ex Food and Energy MoM,0.0,0.001,M,2013-09-13,07:30:00,0.001,0.06,-0.001,-0.0028076030606041863,2013-09-13 07:30:00
Retail Sales Ex Auto and Gas,0.001,0.004,M,2013-09-13,07:30:00,0.003,0.11,-0.002,-0.0025533404226093437,2013-09-13 07:30:00
U. of Mich. Sentiment,76.8,82.1,M,2013-09-13,08:55:00,82.0,1.16,-5.200000000000003,-1.6724443446722788,2013-09-13 08:55:00
Industrial Production MoM,0.004,0,M,2013-09-16,08:15:00,0.005,0.16,-0.001,-0.00280636843649842,2013-09-16 08:15:00
CPI Ex Food and Energy YoY,0.018,0.017,M,2013-09-17,07:30:00,0.018,0.05,0.0,0.0,2013-09-17 07:30:00
Housing Starts MoM,0.009,0.059,M,2013-09-18,07:30:00,0.023,2.02,-0.014,-0.017052985267747903,2013-09-18 07:30:00
Initial Jobless Claims,309.0,292k,W,2013-09-19,07:30:00,330.0,13.63,-21.0,-1.1988522456531039,2013-09-19 07:30:00
Initial Jobless Claims,305.0,309k,W,2013-09-26,07:30:00,325.0,11.47,-20.0,-1.1408605611846765,2013-09-26 07:30:00
GDP Annualized QoQ,0.025,0.025,Q,2013-09-26,07:30:00,0.026,0.19,-0.0009999999999999974,-0.04152485954169194,2013-09-26 07:30:00
U. of Mich. Sentiment,77.5,76.8,M,2013-09-27,08:55:00,78.0,1.08,-0.5,-0.16235387915061741,2013-09-27 08:55:00
ISM Manufacturing,56.2,55.7,M,2013-10-01,09:00:00,55.0,0.96,1.2000000000000028,0.6478869454432434,2013-10-01 09:00:00
Initial Jobless Claims,308.0,305k,W,2013-10-03,07:30:00,315.0,6.45,-7.0,-0.4000316533797841,2013-10-03 07:30:00
Initial Jobless Claims,374.0,308k,W,2013-10-10,07:30:00,311.0,8.09,63.0,3.5104318296747157,2013-10-10 07:30:00
U. of Mich. Sentiment,75.2,77.5,M,2013-10-11,08:55:00,75.3,2.55,-0.09999999999999432,-0.03278448939587384,2013-10-11 08:55:00
Initial Jobless Claims,358.0,374k,W,2013-10-17,07:30:00,335.0,15.09,23.0,1.2800639793716595,2013-10-17 07:30:00
Change in Nonfarm Payrolls,148.0,169k,M,2013-10-22,07:30:00,180.0,21.88,-32.0,-0.5129615036097355,2013-10-22 07:30:00
Unemployment Rate,0.072,0.073,M,2013-10-22,07:30:00,0.073,0.06,-0.0010000000000000009,-0.0028331762499120582,2013-10-22 07:30:00
Initial Jobless Claims,350.0,358k,W,2013-10-24,07:30:00,340.0,9.13,10.0,0.5574615760895207,2013-10-24 07:30:00
U. of Mich. Sentiment,73.2,75.2,M,2013-10-25,08:55:00,75.0,1.28,-1.7999999999999972,-0.5943174677135706,2013-10-25 08:55:00
Industrial Production MoM,0.006,0.004,M,2013-10-28,08:15:00,0.004,0.16,0.002,0.005665347389566933,2013-10-28 08:15:00
PPI Ex Food and Energy MoM,0.001,0,M,2013-10-29,07:30:00,0.001,0.05,0.0,0.0,2013-10-29 07:30:00
Retail Sales Ex Auto and Gas,0.004,0.001,M,2013-10-29,07:30:00,0.005,0.2,-0.001,-0.0012861520054406111,2013-10-29 07:30:00
CPI Ex Food and Energy YoY,0.017,0.018,M,2013-10-30,07:30:00,0.018,0.04,-0.0009999999999999974,-0.0023131951695796265,2013-10-30 07:30:00
Initial Jobless Claims,340.0,350k,W,2013-10-31,07:30:00,338.0,8.8,2.0,0.11173916868114862,2013-10-31 07:30:00
ISM Manufacturing,56.4,56.2,M,2013-11-01,09:00:00,55.0,0.96,1.3999999999999986,0.7608765934966601,2013-11-01 09:00:00
Initial Jobless Claims,336.0,340k,W,2013-11-07,07:30:00,335.0,5.87,1.0,0.05599382796109355,2013-11-07 07:30:00
GDP Annualized QoQ,0.028,0.025,Q,2013-11-07,07:30:00,0.02,0.34,0.008,0.34074804425477,2013-11-07 07:30:00
Change in Nonfarm Payrolls,204.0,148k,M,2013-11-08,07:30:00,120.0,24.98,84.0,1.3318093807990505,2013-11-08 07:30:00
Unemployment Rate,0.073,0.072,M,2013-11-08,07:30:00,0.073,0.11,0.0,0.0,2013-11-08 07:30:00
U. of Mich. Sentiment,72.0,73.2,M,2013-11-08,08:55:00,74.5,1.47,-2.5,-0.8291136855863905,2013-11-08 08:55:00
Initial Jobless Claims,339.0,336k,W,2013-11-14,07:30:00,330.0,5.13,9.0,0.50483042275642,2013-11-14 07:30:00
Industrial Production MoM,-0.001,0.006,M,2013-11-15,08:15:00,0.002,0.15,-0.003,-0.008577309624430422,2013-11-15 08:15:00
Retail Sales Ex Auto and Gas,0.003,0.004,M,2013-11-20,07:30:00,0.002,0.13,0.001,0.0012958015931227346,2013-11-20 07:30:00
CPI Ex Food and Energy YoY,0.017,0.017,M,2013-11-20,07:30:00,0.017,0.03,0.0,0.0,2013-11-20 07:30:00
Initial Jobless Claims,323.0,339k,W,2013-11-21,07:30:00,335.0,5.76,-12.0,-0.6738338561605901,2013-11-21 07:30:00
PPI Ex Food and Energy MoM,0.002,0.001,M,2013-11-21,07:30:00,0.001,0.05,0.001,0.0028603760222792487,2013-11-21 07:30:00
Initial Jobless Claims,316.0,323k,W,2013-11-27,07:30:00,330.0,5.73,-14.0,-0.7866931930664186,2013-11-27 07:30:00
U. of Mich. Sentiment,75.1,72,M,2013-11-27,08:55:00,73.1,0.69,2.0,0.666149050879485,2013-11-27 08:55:00
ISM Manufacturing,57.3,56.4,M,2013-12-02,09:00:00,55.1,0.77,2.1999999999999957,1.1961603431615413,2013-12-02 09:00:00
Initial Jobless Claims,298.0,316k,W,2013-12-05,07:30:00,320.0,6.84,-22.0,-1.2345514423418342,2013-12-05 07:30:00
GDP Annualized QoQ,0.036,0.028,Q,2013-12-05,07:30:00,0.031,0.22,0.0049999999999999975,0.21891892093515425,2013-12-05 07:30:00
Change in Nonfarm Payrolls,203.0,204k,M,2013-12-06,07:30:00,185.0,19.13,18.0,0.2876987793396255,2013-12-06 07:30:00
Unemployment Rate,0.07,0.073,M,2013-12-06,07:30:00,0.072,0.08,-0.001999999999999988,-0.005772817849044379,2013-12-06 07:30:00
U. of Mich. Sentiment,82.5,75.1,M,2013-12-06,08:55:00,76.0,1.79,6.5,2.089694633235074,2013-12-06 08:55:00
Retail Sales Ex Auto and Gas,0.006,0.003,M,2013-12-12,07:30:00,0.003,0.15,0.003,0.003916856104689861,2013-12-12 07:30:00
Initial Jobless Claims,368.0,298k,W,2013-12-12,07:30:00,320.0,14.25,48.0,2.6583910753375455,2013-12-12 07:30:00
PPI Ex Food and Energy MoM,0.001,0.002,M,2013-12-13,07:30:00,0.001,0.05,0.0,0.0,2013-12-13 07:30:00
Industrial Production MoM,0.011,-0.001,M,2013-12-16,08:15:00,0.006,0.17,0.004999999999999999,0.014430087889742337,2013-12-16 08:15:00
CPI Ex Food and Energy YoY,0.017,0.017,M,2013-12-17,07:30:00,0.017,0.06,0.0,0.0,2013-12-17 07:30:00
Initial Jobless Claims,379.0,368k,W,2013-12-19,07:30:00,336.0,15.85,43.0,2.358540060714234,2013-12-19 07:30:00
GDP Annualized QoQ,0.041,0.036,Q,2013-12-20,07:30:00,0.036,0.08,0.0050000000000000044,0.22505400837791226,2013-12-20 07:30:00
U. of Mich. Sentiment,82.5,82.5,M,2013-12-23,08:55:00,83.0,1.18,-0.5,-0.16227682466909651,2013-12-23 08:55:00
Initial Jobless Claims,338.0,379k,W,2013-12-26,07:30:00,345.0,11.69,-7.0,-0.38463851613127514,2013-12-26 07:30:00
Initial Jobless Claims,339.0,338k,W,2014-01-02,07:30:00,344.0,18.35,-5.0,-0.27528738784526297,2014-01-02 07:30:00
ISM Manufacturing,57.0,57,M,2014-01-02,09:00:00,56.8,0.68,0.20000000000000284,0.10978155877728701,2014-01-02 09:00:00
Initial Jobless Claims,330.0,339k,W,2014-01-09,07:30:00,335.0,10.06,-5.0,-0.2758343836271238,2014-01-09 07:30:00
Change in Nonfarm Payrolls,74.0,203k,M,2014-01-10,07:30:00,197.0,24.88,-123.0,-1.924362418487433,2014-01-10 07:30:00
Unemployment Rate,0.067,0.07,M,2014-01-10,07:30:00,0.07,0.08,-0.0030000000000000027,-0.008740106730582,2014-01-10 07:30:00
Retail Sales Ex Auto and Gas,0.006,0.006,M,2014-01-14,07:30:00,0.003,0.17,0.003,0.003946720091010612,2014-01-14 07:30:00
PPI Ex Food and Energy MoM,0.003,0.001,M,2014-01-15,07:30:00,0.001,0.05,0.002,0.005828480909243606,2014-01-15 07:30:00
CPI Ex Food and Energy YoY,0.017,0.017,M,2014-01-16,07:30:00,0.017,0.05,0.0,0.0,2014-01-16 07:30:00
Initial Jobless Claims,326.0,330k,W,2014-01-16,07:30:00,328.0,11.68,-2.0,-0.11057280834468176,2014-01-16 07:30:00
Housing Starts MoM,-0.098,0.227,M,2014-01-17,07:30:00,-0.097,2.59,-0.0010000000000000009,-0.0012267558636742005,2014-01-17 07:30:00
Industrial Production MoM,0.003,0.011,M,2014-01-17,08:15:00,0.003,0.16,0.0,0.0,2014-01-17 08:15:00
U. of Mich. Sentiment,80.4,82.5,M,2014-01-17,08:55:00,83.5,1.4,-3.0999999999999943,-1.007059620611004,2014-01-17 08:55:00
Initial Jobless Claims,326.0,326k,W,2014-01-23,07:30:00,330.0,7.14,-4.0,-0.22160145463509026,2014-01-23 07:30:00
GDP Annualized QoQ,0.032,0.041,Q,2014-01-30,07:30:00,0.032,0.51,0.0,0.0,2014-01-30 07:30:00
Initial Jobless Claims,348.0,326k,W,2014-01-30,07:30:00,330.0,6.29,18.0,0.9974477706461974,2014-01-30 07:30:00
U. of Mich. Sentiment,81.2,80.4,M,2014-01-31,08:55:00,81.0,0.75,0.20000000000000284,0.06559103674420655,2014-01-31 08:55:00
ISM Manufacturing,51.3,57,M,2014-02-03,09:00:00,56.0,0.73,-4.700000000000003,-2.4328109644539366,2014-02-03 09:00:00
Initial Jobless Claims,331.0,348k,W,2014-02-06,07:30:00,335.0,5.21,-4.0,-0.22211097808118782,2014-02-06 07:30:00
Change in Nonfarm Payrolls,113.0,74k,M,2014-02-07,07:30:00,180.0,25.83,-67.0,-1.0504507068465425,2014-02-07 07:30:00
Unemployment Rate,0.066,0.067,M,2014-02-07,07:30:00,0.067,0.1,-0.0010000000000000009,-0.0029406584966951586,2014-02-07 07:30:00
Retail Sales Ex Auto and Gas,-0.002,0.006,M,2014-02-13,07:30:00,0.001,0.14,-0.003,-0.0039767256186124846,2014-02-13 07:30:00
Initial Jobless Claims,339.0,331k,W,2014-02-13,07:30:00,330.0,4.94,9.0,0.5006399640912917,2014-02-13 07:30:00
Industrial Production MoM,-0.003,0.003,M,2014-02-14,08:15:00,0.002,0.24,-0.005,-0.014701180043870516,2014-02-14 08:15:00
U. of Mich. Sentiment,81.2,81.2,M,2014-02-14,08:55:00,80.2,1.3,1.0,0.3306750301297012,2014-02-14 08:55:00
PPI Ex Food and Energy MoM,0.002,0,M,2014-02-19,07:30:00,0.001,0.07,0.001,0.002941577648328209,2014-02-19 07:30:00
Housing Starts MoM,-0.16,-0.098,M,2014-02-19,07:30:00,-0.049,2.82,-0.111,-0.1369493925519326,2014-02-19 07:30:00
CPI Ex Food and Energy YoY,0.016,0.017,M,2014-02-20,07:30:00,0.016,0.04,0.0,0.0,2014-02-20 07:30:00
Initial Jobless Claims,336.0,339k,W,2014-02-20,07:30:00,335.0,6.98,1.0,0.05575038145670952,2014-02-20 07:30:00
Initial Jobless Claims,348.0,336k,W,2014-02-27,07:30:00,335.0,4.23,13.0,0.725647675143274,2014-02-27 07:30:00
GDP Annualized QoQ,0.024,0.032,Q,2014-02-28,07:30:00,0.025,0.19,-0.0010000000000000009,-0.047682352826127386,2014-02-28 07:30:00
U. of Mich. Sentiment,81.6,81.2,M,2014-02-28,08:55:00,81.2,0.74,0.3999999999999915,0.13350903331980243,2014-02-28 08:55:00
ISM Manufacturing,53.2,51.3,M,2014-03-03,09:00:00,52.3,1.02,0.9000000000000057,0.46993948446600126,2014-03-03 09:00:00
Initial Jobless Claims,323.0,348k,W,2014-03-06,07:30:00,336.0,4.72,-13.0,-0.7262792786994994,2014-03-06 07:30:00
Change in Nonfarm Payrolls,175.0,113k,M,2014-03-07,07:30:00,149.0,22.49,26.0,0.41031887659131816,2014-03-07 07:30:00
Unemployment Rate,0.067,0.066,M,2014-03-07,07:30:00,0.066,0.08,0.0010000000000000009,0.0029682786938851876,2014-03-07 07:30:00
Retail Sales Ex Auto and Gas,0.003,-0.002,M,2014-03-13,07:30:00,0.002,0.21,0.001,0.0013357771054304305,2014-03-13 07:30:00
Initial Jobless Claims,315.0,323k,W,2014-03-13,07:30:00,330.0,5.59,-15.0,-0.8384072706103677,2014-03-13 07:30:00
PPI Ex Food and Energy MoM,-0.002,0.002,M,2014-03-14,07:30:00,0.001,0.04,-0.003,-0.008907211285381635,2014-03-14 07:30:00
U. of Mich. Sentiment,79.9,81.6,M,2014-03-14,08:55:00,82.0,0.96,-2.0999999999999943,-0.7048704479733219,2014-03-14 08:55:00
Industrial Production MoM,0.006,-0.003,M,2014-03-17,08:15:00,0.002,0.17,0.004,0.011871757494768247,2014-03-17 08:15:00
CPI Ex Food and Energy YoY,0.016,0.016,M,2014-03-18,07:30:00,0.016,0.05,0.0,0.0,2014-03-18 07:30:00
Housing Starts MoM,-0.002,-0.16,M,2014-03-18,07:30:00,0.034,2.78,-0.036000000000000004,-0.044720558581024965,2014-03-18 07:30:00
Initial Jobless Claims,320.0,315k,W,2014-03-20,07:30:00,322.0,4.79,-2.0,-0.1120297816459895,2014-03-20 07:30:00
GDP Annualized QoQ,0.026,0.024,Q,2014-03-27,07:30:00,0.027,0.18,-0.0010000000000000009,-0.049075032303303276,2014-03-27 07:30:00
Initial Jobless Claims,311.0,320k,W,2014-03-27,07:30:00,323.0,6.77,-12.0,-0.6729006854019621,2014-03-27 07:30:00
U. of Mich. Sentiment,80.0,79.9,M,2014-03-28,08:55:00,80.5,0.63,-0.5,-0.16943053336382116,2014-03-28 08:55:00
ISM Manufacturing,53.7,53.2,M,2014-04-01,09:00:00,54.0,0.72,-0.29999999999999716,-0.158011470553938,2014-04-01 09:00:00
Initial Jobless Claims,326.0,311k,W,2014-04-03,07:30:00,319.0,4.08,7.0,0.39329441972663615,2014-04-03 07:30:00
Change in Nonfarm Payrolls,192.0,175k,M,2014-04-04,07:30:00,200.0,26.09,-8.0,-0.12747218626316237,2014-04-04 07:30:00
Unemployment Rate,0.067,0.067,M,2014-04-04,07:30:00,0.066,0.04,0.0010000000000000009,0.00299617466968878,2014-04-04 07:30:00
Initial Jobless Claims,300.0,326k,W,2014-04-10,07:30:00,320.0,4.85,-20.0,-1.1228009487137132,2014-04-10 07:30:00
PPI Ex Food and Energy MoM,0.006,-0.002,M,2014-04-11,07:30:00,0.002,0.07,0.004,0.011988167539461683,2014-04-11 07:30:00
U. of Mich. Sentiment,82.6,80,M,2014-04-11,08:55:00,81.0,1.38,1.5999999999999943,0.5455732906908831,2014-04-11 08:55:00
Retail Sales Ex Auto and Gas,0.01,0.003,M,2014-04-14,07:30:00,0.004,0.25,0.006,0.008077159146150302,2014-04-14 07:30:00
CPI Ex Food and Energy YoY,0.017,0.016,M,2014-04-15,07:30:00,0.016,0.04,0.0010000000000000009,0.00244389590230489,2014-04-15 07:30:00
Housing Starts MoM,0.028,-0.002,M,2014-04-16,07:30:00,0.07,2.92,-0.04200000000000001,-0.05253134386230527,2014-04-16 07:30:00
Industrial Production MoM,0.007,0.006,M,2014-04-16,08:15:00,0.005,0.18,0.002,0.005991727280805535,2014-04-16 08:15:00
Initial Jobless Claims,304.0,300k,W,2014-04-17,07:30:00,315.0,5.86,-11.0,-0.6183193401514275,2014-04-17 07:30:00
Initial Jobless Claims,329.0,304k,W,2014-04-24,07:30:00,315.0,7.57,14.0,0.7877325008659916,2014-04-24 07:30:00
U. of Mich. Sentiment,84.1,82.6,M,2014-04-25,08:55:00,83.0,0.81,1.0999999999999943,0.3780741713599916,2014-04-25 08:55:00
GDP Annualized QoQ,0.001,0.026,Q,2014-04-30,07:30:00,0.012,0.4,-0.011,-0.5512751140632319,2014-04-30 07:30:00
Initial Jobless Claims,344.0,329k,W,2014-05-01,07:30:00,320.0,6,24.0,1.3483272380921056,2014-05-01 07:30:00
ISM Manufacturing,54.9,53.7,M,2014-05-01,09:00:00,54.3,0.63,0.6000000000000014,0.31900518212483686,2014-05-01 09:00:00
Change in Nonfarm Payrolls,288.0,192k,M,2014-05-02,07:30:00,218.0,19.83,70.0,1.1094897023054127,2014-05-02 07:30:00
Unemployment Rate,0.063,0.067,M,2014-05-02,07:30:00,0.066,0.05,-0.0030000000000000027,-0.009072690918267625,2014-05-02 07:30:00
Initial Jobless Claims,319.0,344k,W,2014-05-08,07:30:00,325.0,6.21,-6.0,-0.3377204605561333,2014-05-08 07:30:00
Retail Sales Ex Auto and Gas,-0.001,0.01,M,2014-05-13,07:30:00,0.005,0.17,-0.006,-0.008139385182005469,2014-05-13 07:30:00
PPI Ex Food and Energy MoM,0.005,0.006,M,2014-05-14,07:30:00,0.002,0.08,0.003,0.009075791849635582,2014-05-14 07:30:00
CPI Ex Food and Energy YoY,0.018,0.017,M,2014-05-15,07:30:00,0.017,0.05,0.0009999999999999974,0.002466485330737999,2014-05-15 07:30:00
Initial Jobless Claims,297.0,319k,W,2014-05-15,07:30:00,320.0,6.38,-23.0,-1.2923486774857837,2014-05-15 07:30:00
Industrial Production MoM,-0.006,0.007,M,2014-05-15,08:15:00,0.0,0.23,-0.006,-0.018142951196390915,2014-05-15 08:15:00
Housing Starts MoM,0.132,0.028,M,2014-05-16,07:30:00,0.036,2.31,0.096,0.12107936129706248,2014-05-16 07:30:00
U. of Mich. Sentiment,81.8,84.1,M,2014-05-16,08:55:00,84.5,0.94,-2.700000000000003,-0.9301631297406451,2014-05-16 08:55:00
Initial Jobless Claims,326.0,297k,W,2014-05-22,07:30:00,310.0,6.38,16.0,0.8995653983330653,2014-05-22 07:30:00
GDP Annualized QoQ,-0.01,0.001,Q,2014-05-29,07:30:00,-0.005,0.28,-0.005,-0.25756911233255464,2014-05-29 07:30:00
Initial Jobless Claims,300.0,326k,W,2014-05-29,07:30:00,318.0,5.69,-18.0,-1.0117695835258538,2014-05-29 07:30:00
U. of Mich. Sentiment,81.9,81.8,M,2014-05-30,08:55:00,82.5,0.78,-0.5999999999999943,-0.20865955503474634,2014-05-30 08:55:00
ISM Manufacturing,55.4,54.9,M,2014-06-02,09:00:00,55.5,0.58,-0.10000000000000142,-0.05365857519230278,2014-06-02 09:00:00
Initial Jobless Claims,312.0,300k,W,2014-06-05,07:30:00,310.0,5.58,2.0,0.11266758484911682,2014-06-05 07:30:00
Change in Nonfarm Payrolls,217.0,288k,M,2014-06-06,07:30:00,215.0,27.13,2.0,0.03199830681171422,2014-06-06 07:30:00
Unemployment Rate,0.063,0.063,M,2014-06-06,07:30:00,0.064,0.09,-0.0010000000000000009,-0.003052627931462418,2014-06-06 07:30:00
Retail Sales Ex Auto and Gas,0.0,-0.001,M,2014-06-12,07:30:00,0.004,0.21,-0.004,-0.00546842899382545,2014-06-12 07:30:00
Initial Jobless Claims,317.0,312k,W,2014-06-12,07:30:00,310.0,7.2,7.0,0.3951046555735274,2014-06-12 07:30:00
PPI Ex Food and Energy MoM,-0.001,0.005,M,2014-06-13,07:30:00,0.001,0.12,-0.002,-0.006107238764714408,2014-06-13 07:30:00
U. of Mich. Sentiment,81.2,81.9,M,2014-06-13,08:55:00,83.0,0.68,-1.7999999999999972,-0.6301609877781893,2014-06-13 08:55:00
Industrial Production MoM,0.006,-0.006,M,2014-06-16,08:15:00,0.005,0.14,0.001,0.0030522822430449352,2014-06-16 08:15:00
CPI Ex Food and Energy YoY,0.02,0.018,M,2014-06-17,07:30:00,0.019,0.05,0.0010000000000000009,0.002489304672756486,2014-06-17 07:30:00
Housing Starts MoM,-0.065,0.132,M,2014-06-17,07:30:00,-0.039,2.59,-0.026000000000000002,-0.03302659803487742,2014-06-17 07:30:00
Initial Jobless Claims,312.0,317k,W,2014-06-19,07:30:00,313.0,5.16,-1.0,-0.05656783573503209,2014-06-19 07:30:00
GDP Annualized QoQ,-0.029,-0.01,Q,2014-06-25,07:30:00,-0.018,0.31,-0.011000000000000003,-0.5789666982257405,2014-06-25 07:30:00
Initial Jobless Claims,312.0,312k,W,2014-06-26,07:30:00,310.0,4.53,2.0,0.1133860354204778,2014-06-26 07:30:00
U. of Mich. Sentiment,82.5,81.2,M,2014-06-27,08:55:00,82.0,0.57,0.5,0.17663634730412126,2014-06-27 08:55:00
ISM Manufacturing,55.3,55.4,M,2014-07-01,09:00:00,55.9,0.56,-0.6000000000000014,-0.324363248180611,2014-07-01 09:00:00
Change in Nonfarm Payrolls,288.0,217k,M,2014-07-03,07:30:00,215.0,21.27,73.0,1.1610731109950507,2014-07-03 07:30:00
Unemployment Rate,0.061,0.063,M,2014-07-03,07:30:00,0.063,0.06,-0.0020000000000000018,-0.006162557482542397,2014-07-03 07:30:00
Initial Jobless Claims,315.0,312k,W,2014-07-03,07:30:00,313.0,4.55,2.0,0.11363695904338432,2014-07-03 07:30:00
Initial Jobless Claims,304.0,315k,W,2014-07-10,07:30:00,315.0,8.3,-11.0,-0.6257774419168278,2014-07-10 07:30:00
Retail Sales Ex Auto and Gas,0.004,0,M,2014-07-15,07:30:00,0.005,0.16,-0.001,-0.0013778378216919255,2014-07-15 07:30:00
PPI Ex Food and Energy MoM,0.002,-0.001,M,2014-07-16,07:30:00,0.002,0.09,0.0,0.0,2014-07-16 07:30:00
Industrial Production MoM,0.002,0.006,M,2014-07-16,08:15:00,0.003,0.11,-0.001,-0.003080963636768998,2014-07-16 08:15:00
Housing Starts MoM,-0.093,-0.065,M,2014-07-17,07:30:00,0.019,2.71,-0.112,-0.14312849782253526,2014-07-17 07:30:00
Initial Jobless Claims,302.0,304k,W,2014-07-17,07:30:00,310.0,5.63,-8.0,-0.45587645849097014,2014-07-17 07:30:00
U. of Mich. Sentiment,81.3,82.5,M,2014-07-18,08:55:00,83.0,0.92,-1.7000000000000028,-0.6047766805187553,2014-07-18 08:55:00
CPI Ex Food and Energy YoY,0.019,0.02,M,2014-07-22,07:30:00,0.02,0.05,-0.0010000000000000009,-0.0025123064940469368,2014-07-22 07:30:00
Initial Jobless Claims,284.0,302k,W,2014-07-24,07:30:00,307.0,5.32,-23.0,-1.3083193044721952,2014-07-24 07:30:00
GDP Annualized QoQ,0.04,-0.029,Q,2014-07-30,07:30:00,0.03,0.54,0.010000000000000002,0.5367576176098423,2014-07-30 07:30:00
Initial Jobless Claims,302.0,284k,W,2014-07-31,07:30:00,300.0,8.37,2.0,0.1140182379466411,2014-07-31 07:30:00
Change in Nonfarm Payrolls,209.0,288k,M,2014-08-01,07:30:00,230.0,24.3,-21.0,-0.33707305823794004,2014-08-01 07:30:00
Unemployment Rate,0.062,0.061,M,2014-08-01,07:30:00,0.061,0.06,0.0010000000000000009,0.0031103063299573724,2014-08-01 07:30:00
U. of Mich. Sentiment,81.8,81.3,M,2014-08-01,08:55:00,81.8,0.62,0.0,0.0,2014-08-01 08:55:00
ISM Manufacturing,57.1,55.3,M,2014-08-01,09:00:00,56.0,0.55,1.1000000000000014,0.5993185621586963,2014-08-01 09:00:00
Initial Jobless Claims,289.0,302k,W,2014-08-07,07:30:00,304.0,6,-15.0,-0.8555529157730498,2014-08-07 07:30:00
Retail Sales Ex Auto and Gas,0.001,0.004,M,2014-08-13,07:30:00,0.004,0.23,-0.003,-0.004166034522027753,2014-08-13 07:30:00
Initial Jobless Claims,311.0,289k,W,2014-08-14,07:30:00,295.0,4.56,16.0,0.9130455718823539,2014-08-14 07:30:00
PPI Ex Food and Energy MoM,0.002,0.002,M,2014-08-15,07:30:00,0.002,0.07,0.0,0.0,2014-08-15 07:30:00
Industrial Production MoM,0.004,0.002,M,2014-08-15,08:15:00,0.003,0.19,0.001,0.0031099909056944174,2014-08-15 08:15:00
U. of Mich. Sentiment,79.2,81.8,M,2014-08-15,08:55:00,82.5,0.94,-3.299999999999997,-1.1832596620081615,2014-08-15 08:55:00
CPI Ex Food and Energy YoY,0.019,0.019,M,2014-08-19,07:30:00,0.019,0.04,0.0,0.0,2014-08-19 07:30:00
Housing Starts MoM,0.157,-0.093,M,2014-08-19,07:30:00,0.081,2.64,0.076,0.09793501375734674,2014-08-19 07:30:00
Initial Jobless Claims,298.0,311k,W,2014-08-21,07:30:00,303.0,6.32,-5.0,-0.28589766974521785,2014-08-21 07:30:00
Initial Jobless Claims,298.0,298k,W,2014-08-28,07:30:00,300.0,5.57,-2.0,-0.11460806928649545,2014-08-28 07:30:00
GDP Annualized QoQ,0.042,0.04,Q,2014-08-28,07:30:00,0.039,0.15,0.0030000000000000027,0.1655767668082369,2014-08-28 07:30:00
U. of Mich. Sentiment,82.5,79.2,M,2014-08-29,08:55:00,80.0,0.88,2.5,0.8967940368515238,2014-08-29 08:55:00
ISM Manufacturing,59.0,57.1,M,2014-09-02,09:00:00,57.0,0.6,2.0,1.0914459773110796,2014-09-02 09:00:00
Initial Jobless Claims,302.0,298k,W,2014-09-04,07:30:00,300.0,4.67,2.0,0.114861172073726,2014-09-04 07:30:00
Change in Nonfarm Payrolls,142.0,209k,M,2014-09-05,07:30:00,230.0,21.42,-88.0,-1.4040677003904167,2014-09-05 07:30:00
Unemployment Rate,0.061,0.062,M,2014-09-05,07:30:00,0.061,0.04,0.0,0.0,2014-09-05 07:30:00
Initial Jobless Claims,315.0,302k,W,2014-09-11,07:30:00,300.0,6.69,15.0,0.8620632694619528,2014-09-11 07:30:00
Retail Sales Ex Auto and Gas,0.005,0.001,M,2014-09-12,07:30:00,0.005,0.14,0.0,0.0,2014-09-12 07:30:00
U. of Mich. Sentiment,84.6,82.5,M,2014-09-12,08:55:00,83.3,1.06,1.2999999999999972,0.46953095559019564,2014-09-12 08:55:00
Industrial Production MoM,-0.001,0.004,M,2014-09-15,08:15:00,0.003,0.19,-0.004,-0.01255660889706369,2014-09-15 08:15:00
PPI Ex Food and Energy MoM,0.001,0.002,M,2014-09-16,07:30:00,0.001,0.05,0.0,0.0,2014-09-16 07:30:00
CPI Ex Food and Energy YoY,0.017,0.019,M,2014-09-17,07:30:00,0.019,0.04,-0.0019999999999999983,-0.0051180281243924835,2014-09-17 07:30:00
Initial Jobless Claims,280.0,315k,W,2014-09-18,07:30:00,305.0,6.01,-25.0,-1.4331370423008762,2014-09-18 07:30:00
