Event,Actual,Prior,Freq.,Date,Time,Surv(M),Std Dev,nn-surprise,Surprise,DateTime
Initial Jobless Claims,403.0,403k,W,2002-09-05,07:30:00,395.0,5.56,8.0,0.9601720906491112,2002-09-05 07:30:00
Unemployment Rate,0.057,0.059,M,2002-09-06,07:30:00,0.06,0.06,-0.0029999999999999957,-0.003042279406911293,2002-09-06 07:30:00
Change in Nonfarm Payrolls,39.0,6k,M,2002-09-06,07:30:00,30.0,27.73,9.0,0.6142631392898049,2002-09-06 07:30:00
Initial Jobless Claims,426.0,403k,W,2002-09-12,07:30:00,400.0,5.93,26.0,3.0686543459135622,2002-09-12 07:30:00
PPI Ex Food and Energy MoM,-0.001,-0.003,M,2002-09-13,07:30:00,0.001,0.06,-0.002,-0.0020281243635754025,2002-09-13 07:30:00
U. of Mich. Sentiment,86.2,87.6,M,2002-09-13,08:49:00,88.0,1.14,-1.7999999999999972,-0.9963813912506657,2002-09-13 08:49:00
Industrial Production MoM,-0.003,0.002,M,2002-09-17,08:15:00,0.002,0.15,-0.005,-0.005071358259652405,2002-09-17 08:15:00
Initial Jobless Claims,424.0,426k,W,2002-09-19,07:30:00,410.0,8.33,14.0,1.6480436129353024,2002-09-19 07:30:00
Initial Jobless Claims,406.0,424k,W,2002-09-26,07:30:00,420.0,7.17,-14.0,-1.6397251606679268,2002-09-26 07:30:00
GDP Annualized QoQ,0.013,0.011,Q,2002-09-27,07:30:00,0.011,0.11,0.002,0.0022067640956885486,2002-09-27 07:30:00
U. of Mich. Sentiment,86.1,86.2,M,2002-09-27,08:50:00,86.0,0.43,0.09999999999999432,0.055857139052886084,2002-09-27 08:50:00
ISM Manufacturing,49.5,50.5,M,2002-10-01,09:00:00,50.9,1.13,-1.3999999999999986,-1.0500314774485,2002-10-01 09:00:00
Initial Jobless Claims,417.0,406k,W,2002-10-03,07:30:00,410.0,6.85,7.0,0.8209122226862501,2002-10-03 07:30:00
Unemployment Rate,0.056,0.057,M,2002-10-04,07:30:00,0.059,0.05,-0.0029999999999999957,-0.003050889337534527,2002-10-04 07:30:00
Change in Nonfarm Payrolls,-43.0,39k,M,2002-10-04,07:30:00,6.0,27.39,-49.0,-3.074453080226402,2002-10-04 07:30:00
Initial Jobless Claims,384.0,417k,W,2002-10-10,07:30:00,410.0,15.14,-26.0,-2.988338200681874,2002-10-10 07:30:00
PPI Ex Food and Energy MoM,0.001,-0.001,M,2002-10-11,07:30:00,0.001,0.07,0.0,0.0,2002-10-11 07:30:00
U. of Mich. Sentiment,80.4,86.1,M,2002-10-11,08:46:00,85.5,1.07,-5.099999999999994,-2.6411745528782515,2002-10-11 08:46:00
Initial Jobless Claims,411.0,384k,W,2002-10-17,07:30:00,399.0,9.37,12.0,1.3777282520424046,2002-10-17 07:30:00
Industrial Production MoM,-0.001,-0.003,M,2002-10-17,08:15:00,0.001,0.15,-0.002,-0.002034305237962896,2002-10-17 08:15:00
Initial Jobless Claims,389.0,411k,W,2002-10-24,07:30:00,405.0,6.94,-16.0,-1.8251092100113553,2002-10-24 07:30:00
U. of Mich. Sentiment,80.6,80.4,M,2002-10-25,08:46:00,81.0,0.68,-0.4000000000000057,-0.20878838076705436,2002-10-25 08:46:00
GDP Annualized QoQ,0.031,0.013,Q,2002-10-31,07:30:00,0.037,0.46,-0.005999999999999998,-0.006736199733023179,2002-10-31 07:30:00
Initial Jobless Claims,410.0,389k,W,2002-10-31,07:30:00,400.0,9.93,10.0,1.1407490560781979,2002-10-31 07:30:00
Unemployment Rate,0.057,0.056,M,2002-11-01,07:30:00,0.058,0.07,-0.0010000000000000009,-0.0010200961509059586,2002-11-01 07:30:00
Change in Nonfarm Payrolls,-5.0,-43k,M,2002-11-01,07:30:00,0.0,35.04,-5.0,-0.3165927849976609,2002-11-01 07:30:00
ISM Manufacturing,48.5,49.5,M,2002-11-01,09:00:00,49.0,1.24,-0.5,-0.3752587639520594,2002-11-01 09:00:00
Initial Jobless Claims,390.0,410k,W,2002-11-07,07:30:00,400.0,7.92,-10.0,-1.1390941179082266,2002-11-07 07:30:00
Initial Jobless Claims,388.0,390k,W,2002-11-14,07:30:00,396.0,6.75,-8.0,-0.9110579503022019,2002-11-14 07:30:00
PPI Ex Food and Energy MoM,0.005,0.001,M,2002-11-15,07:30:00,0.001,0.11,0.004,0.004080778089562617,2002-11-15 07:30:00
Industrial Production MoM,-0.008,-0.001,M,2002-11-15,08:15:00,-0.003,0.17,-0.005,-0.005101078259806921,2002-11-15 08:15:00
U. of Mich. Sentiment,85.0,80.6,M,2002-11-15,08:50:00,82.0,0.92,3.0,1.5549229455484257,2002-11-15 08:50:00
Initial Jobless Claims,376.0,388k,W,2002-11-21,07:30:00,395.0,7.66,-19.0,-2.1435890373831064,2002-11-21 07:30:00
GDP Annualized QoQ,0.04,0.031,Q,2002-11-26,07:30:00,0.038,0.29,0.0020000000000000018,0.0022874097664593125,2002-11-26 07:30:00
Initial Jobless Claims,364.0,376k,W,2002-11-27,07:30:00,385.0,8.31,-21.0,-2.342437528403895,2002-11-27 07:30:00
U. of Mich. Sentiment,84.2,85,M,2002-11-27,08:46:00,85.3,0.67,-1.0999999999999943,-0.5721209328315136,2002-11-27 08:46:00
ISM Manufacturing,49.2,48.5,M,2002-12-02,09:00:00,51.0,0.98,-1.7999999999999972,-1.3183304973994534,2002-12-02 09:00:00
Initial Jobless Claims,355.0,364k,W,2002-12-05,07:30:00,370.0,9.69,-15.0,-1.6651521546873573,2002-12-05 07:30:00
Unemployment Rate,0.06,0.057,M,2002-12-06,07:30:00,0.058,0.05,0.001999999999999995,0.002046997288353168,2002-12-06 07:30:00
Change in Nonfarm Payrolls,-40.0,-5k,M,2002-12-06,07:30:00,36.0,30.1,-76.0,-4.0802897024808,2002-12-06 07:30:00
Initial Jobless Claims,441.0,355k,W,2002-12-12,07:30:00,380.0,16.92,61.0,6.205871851344309,2002-12-12 07:30:00
PPI Ex Food and Energy MoM,-0.003,0.005,M,2002-12-13,07:30:00,0.0,0.08,-0.003,-0.0030705438305304775,2002-12-13 07:30:00
U. of Mich. Sentiment,87.0,84.2,M,2002-12-13,08:47:00,85.0,1.03,2.0,1.0438755404471183,2002-12-13 08:47:00
Industrial Production MoM,0.001,-0.008,M,2002-12-17,08:15:00,0.002,0.19,-0.001,-0.0010235670509184257,2002-12-17 08:15:00
Initial Jobless Claims,433.0,441k,W,2002-12-19,07:30:00,400.0,18.55,33.0,3.289827002940746,2002-12-19 07:30:00
GDP Annualized QoQ,0.04,0.04,Q,2002-12-20,07:30:00,0.04,0.06,0.0,0.0,2002-12-20 07:30:00
U. of Mich. Sentiment,86.7,87,M,2002-12-23,08:46:00,86.6,0.66,0.10000000000000853,0.05268031644997295,2002-12-23 08:46:00
Initial Jobless Claims,378.0,433k,W,2002-12-26,07:30:00,405.0,12.25,-27.0,-2.65121245701421,2002-12-26 07:30:00
Initial Jobless Claims,403.0,378k,W,2003-01-02,07:30:00,380.0,8.14,23.0,2.241040357315613,2003-01-02 07:30:00
ISM Manufacturing,54.7,49.2,M,2003-01-02,09:00:00,50.0,0.74,4.700000000000003,3.230377145823198,2003-01-02 09:00:00
Initial Jobless Claims,389.0,403k,W,2003-01-09,07:30:00,394.0,6.03,-5.0,-0.4878532641449498,2003-01-09 07:30:00
Unemployment Rate,0.06,0.06,M,2003-01-10,07:30:00,0.06,0.08,0.0,0.0,2003-01-10 07:30:00
Change in Nonfarm Payrolls,-101.0,-40k,M,2003-01-10,07:30:00,20.0,31.96,-121.0,-4.952976102361462,2003-01-10 07:30:00
PPI Ex Food and Energy MoM,-0.003,-0.003,M,2003-01-15,07:30:00,0.001,0.08,-0.004,-0.004108138917343946,2003-01-15 07:30:00
Initial Jobless Claims,360.0,389k,W,2003-01-16,07:30:00,395.0,8.94,-35.0,-3.3314375950168955,2003-01-16 07:30:00
Industrial Production MoM,-0.002,0.001,M,2003-01-17,08:15:00,0.002,0.17,-0.004,-0.0041083428089494075,2003-01-17 08:15:00
U. of Mich. Sentiment,83.7,86.7,M,2003-01-17,08:48:00,87.0,1.24,-3.299999999999997,-1.6941098536666253,2003-01-17 08:48:00
Initial Jobless Claims,381.0,360k,W,2003-01-23,07:30:00,380.0,11.53,1.0,0.0953955753592021,2003-01-23 07:30:00
GDP Annualized QoQ,0.007,0.04,Q,2003-01-30,07:30:00,0.009,0.45,-0.001999999999999999,-0.0023786501122371544,2003-01-30 07:30:00
Initial Jobless Claims,397.0,381k,W,2003-01-30,07:30:00,385.0,8.95,12.0,1.14459875881744,2003-01-30 07:30:00
U. of Mich. Sentiment,82.4,83.7,M,2003-01-31,08:46:00,83.5,1.15,-1.0999999999999943,-0.5670667833839603,2003-01-31 08:46:00
ISM Manufacturing,53.9,54.7,M,2003-02-03,09:00:00,54.0,1.17,-0.10000000000000142,-0.06914232879808932,2003-02-03 09:00:00
Initial Jobless Claims,391.0,397k,W,2003-02-06,07:30:00,390.0,8.27,1.0,0.0955952820510561,2003-02-06 07:30:00
